rank,match_id,competition_id,season_id,competition,season,match_date,home,away
194,3895180,9,281,1. Bundesliga,2023/2024,2023-12-17,Bayer Leverkusen,Eintracht Frankfurt
195,3817865,1238,108,Indian Super league,2021/2022,2022-01-18,NorthEast United,Odisha
196,68314,11,37,La Liga,2004/2005,2004-12-04,Barcelona,Málaga
197,68342,11,38,La Liga,2005/2006,2006-01-15,Barcelona,Athletic Club
198,68334,11,39,La Liga,2006/2007,2007-03-03,Sevilla,Barcelona
199,68358,11,40,La Liga,2007/2008,2008-04-12,Recreativo Huelva,Barcelona
200,69171,11,41,La Liga,2008/2009,2008-11-29,Sevilla,Barcelona
201,69220,11,21,La Liga,2009/2010,2010-01-30,Sporting Gijón,Barcelona
202,69287,11,22,La Liga,2010/2011,2010-09-11,Barcelona,Hércules
203,69329,11,23,La Liga,2011/2012,2011-10-22,Barcelona,Sevilla
204,70270,11,24,La Liga,2012/2013,2012-09-22,Barcelona,Granada
205,266256,11,25,La Liga,2013/2014,2014-05-17,Barcelona,Atlético Madrid
206,266929,11,26,La Liga,2014/2015,2015-04-05,Celta Vigo,Barcelona
207,3825808,11,27,La Liga,2015/2016,2016-03-06,Sporting Gijón,Athletic Club
208,267395,11,2,La Liga,2016/2017,2017-01-14,Barcelona,Las Palmas
209,9765,11,1,La Liga,2017/2018,2018-01-21,Real Betis,Barcelona
210,16275,11,4,La Liga,2018/2019,2019-04-23,Deportivo Alavés,Barcelona
211,303430,11,42,La Liga,2019/2020,2019-09-24,Barcelona,Villarreal
212,3773689,11,90,La Liga,2020/2021,2021-04-25,Villarreal,Barcelona
213,3829450,7,27,Ligue 1,2015/2016,2015-08-30,AS Monaco,Paris Saint-Germain
214,3802709,7,108,Ligue 1,2021/2022,2022-02-26,Paris Saint-Germain,Saint-Étienne
215,3837938,7,235,Ligue 1,2022/2023,2023-04-08,OGC Nice,Paris Saint-Germain
216,3749526,2,44,Premier League,2003/2004,2003-10-26,Charlton Athletic,Arsenal
217,3753998,2,27,Premier League,2015/2016,2015-12-28,West Ham United,Southampton
218,3879633,12,27,Serie A,2015/2016,2015-11-29,Empoli,Lazio
219,3890350,9,27,1. Bundesliga,2015/2016,2015-10-31,Wolfsburg,Bayer Leverkusen
220,3895275,9,281,1. Bundesliga,2023/2024,2024-03-17,Freiburg,Bayer Leverkusen
221,3817895,1238,108,Indian Super league,2021/2022,2022-02-09,Chennaiyin,Goa
222,69164,11,38,La Liga,2005/2006,2005-10-26,Barcelona,Málaga
223,69165,11,39,La Liga,2006/2007,2007-06-09,Barcelona,Espanyol
224,69145,11,40,La Liga,2007/2008,2007-12-15,Valencia,Barcelona
225,69223,11,41,La Liga,2008/2009,2009-04-18,Getafe,Barcelona
226,69250,11,21,La Liga,2009/2010,2009-11-07,Barcelona,Mallorca
227,69283,11,22,La Liga,2010/2011,2011-02-26,Mallorca,Barcelona
228,69297,11,23,La Liga,2011/2012,2011-09-24,Barcelona,Atlético Madrid
229,70295,11,24,La Liga,2012/2013,2012-12-09,Real Betis,Barcelona
230,266491,11,25,La Liga,2013/2014,2014-05-03,Barcelona,Getafe
231,70273,11,26,La Liga,2014/2015,2014-09-13,Barcelona,Athletic Club
