match_id,model_version,prediction_timestamp,source_snapshot_timestamp,kickoff_utc,approval_status,row_index,valid,reasons
2026_D_0626_ParAus,M5_25_75,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-26T02:00:00+00:00,shadow,105,True,
2026_D_0626_TurUni,M1_B1,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-26T02:00:00+00:00,approved,106,True,
2026_D_0626_TurUni,M2_market,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-26T02:00:00+00:00,shadow,107,True,
2026_D_0626_TurUni,M3_75_25,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-26T02:00:00+00:00,shadow,108,True,
2026_D_0626_TurUni,M4_50_50,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-26T02:00:00+00:00,shadow,109,True,
2026_D_0626_TurUni,M5_25_75,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-26T02:00:00+00:00,shadow,110,True,
2026_I_0626_NorFra,M1_B1,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-26T19:00:00+00:00,approved,111,True,
2026_I_0626_NorFra,M2_market,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-26T19:00:00+00:00,shadow,112,True,
2026_I_0626_NorFra,M3_75_25,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-26T19:00:00+00:00,shadow,113,True,
2026_I_0626_NorFra,M4_50_50,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-26T19:00:00+00:00,shadow,114,True,
2026_I_0626_NorFra,M5_25_75,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-26T19:00:00+00:00,shadow,115,True,
2026_I_0626_SenIra,M1_B1,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-26T19:00:00+00:00,approved,116,True,
2026_I_0626_SenIra,M2_market,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-26T19:00:00+00:00,shadow,117,True,
2026_I_0626_SenIra,M3_75_25,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-26T19:00:00+00:00,shadow,118,True,
2026_I_0626_SenIra,M4_50_50,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-26T19:00:00+00:00,shadow,119,True,
2026_I_0626_SenIra,M5_25_75,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-26T19:00:00+00:00,shadow,120,True,
2026_H_0627_CapSau,M1_B1,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T00:00:00+00:00,approved,121,True,
2026_H_0627_CapSau,M2_market,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T00:00:00+00:00,shadow,122,True,
2026_H_0627_CapSau,M3_75_25,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T00:00:00+00:00,shadow,123,True,
2026_H_0627_CapSau,M4_50_50,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T00:00:00+00:00,shadow,124,True,
2026_H_0627_CapSau,M5_25_75,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T00:00:00+00:00,shadow,125,True,
2026_H_0627_UruSpa,M1_B1,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T00:00:00+00:00,approved,126,True,
2026_H_0627_UruSpa,M2_market,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T00:00:00+00:00,shadow,127,True,
2026_H_0627_UruSpa,M3_75_25,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T00:00:00+00:00,shadow,128,True,
2026_H_0627_UruSpa,M4_50_50,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T00:00:00+00:00,shadow,129,True,
2026_H_0627_UruSpa,M5_25_75,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T00:00:00+00:00,shadow,130,True,
2026_G_0627_EgyIra,M1_B1,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T03:00:00+00:00,approved,131,True,
2026_G_0627_EgyIra,M2_market,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T03:00:00+00:00,shadow,132,True,
2026_G_0627_EgyIra,M3_75_25,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T03:00:00+00:00,shadow,133,True,
2026_G_0627_EgyIra,M4_50_50,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T03:00:00+00:00,shadow,134,True,
2026_G_0627_EgyIra,M5_25_75,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T03:00:00+00:00,shadow,135,True,
2026_G_0627_NewBel,M1_B1,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T03:00:00+00:00,approved,136,True,
2026_G_0627_NewBel,M2_market,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T03:00:00+00:00,shadow,137,True,
2026_G_0627_NewBel,M3_75_25,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T03:00:00+00:00,shadow,138,True,
2026_G_0627_NewBel,M4_50_50,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T03:00:00+00:00,shadow,139,True,
2026_G_0627_NewBel,M5_25_75,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T03:00:00+00:00,shadow,140,True,
2026_L_0627_CroGha,M1_B1,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T21:00:00+00:00,approved,141,True,
2026_L_0627_CroGha,M2_market,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T21:00:00+00:00,shadow,142,True,
2026_L_0627_CroGha,M3_75_25,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T21:00:00+00:00,shadow,143,True,
2026_L_0627_CroGha,M4_50_50,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T21:00:00+00:00,shadow,144,True,
2026_L_0627_CroGha,M5_25_75,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T21:00:00+00:00,shadow,145,True,
2026_L_0627_PanEng,M1_B1,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T21:00:00+00:00,approved,146,True,
2026_L_0627_PanEng,M2_market,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T21:00:00+00:00,shadow,147,True,
2026_L_0627_PanEng,M3_75_25,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T21:00:00+00:00,shadow,148,True,
2026_L_0627_PanEng,M4_50_50,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T21:00:00+00:00,shadow,149,True,
2026_L_0627_PanEng,M5_25_75,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T21:00:00+00:00,shadow,150,True,
2026_K_0627_ColPor,M1_B1,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T23:30:00+00:00,approved,151,True,
2026_K_0627_ColPor,M2_market,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T23:30:00+00:00,shadow,152,True,
2026_K_0627_ColPor,M3_75_25,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T23:30:00+00:00,shadow,153,True,
2026_K_0627_ColPor,M4_50_50,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T23:30:00+00:00,shadow,154,True,
2026_K_0627_ColPor,M5_25_75,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T23:30:00+00:00,shadow,155,True,
2026_K_0627_ConUzb,M1_B1,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T23:30:00+00:00,approved,156,True,
2026_K_0627_ConUzb,M2_market,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T23:30:00+00:00,shadow,157,True,
2026_K_0627_ConUzb,M3_75_25,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T23:30:00+00:00,shadow,158,True,
2026_K_0627_ConUzb,M4_50_50,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-27T23:30:00+00:00,shadow,159,True,
