canonical_match_id,provider_fixture_id,league_name,season,comp_type,kickoff_utc,cohort,raw_events_state,raw_lineups_state,execution_status
39/2021/2021-09-18/66/45,710596,EPL,2021,club,2021-09-18T16:30:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-05-15/39/71,710925,EPL,2021,club,2022-05-15T13:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-12-04/39/40,710705,EPL,2021,club,2021-12-04T15:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-03-12/51/40,710838,EPL,2021,club,2022-03-12T12:30:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-11-21/47/63,710673,EPL,2021,club,2021-11-21T16:30:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-09-26/41/39,710614,EPL,2021,club,2021-09-26T13:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-12-01/38/49,710689,EPL,2021,club,2021-12-01T19:30:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-11-27/52/66,710681,EPL,2021,club,2021-11-27T15:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-02-05/44/38,710719,EPL,2021,club,2022-02-05T18:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-12-01/66/50,710686,EPL,2021,club,2021-12-01T20:15:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-03-10/41/34,710764,EPL,2021,club,2022-03-10T19:30:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-02-20/63/33,710810,EPL,2021,club,2022-02-20T14:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-10-03/52/46,710619,EPL,2021,club,2021-10-03T13:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-09-11/38/39,710595,EPL,2021,club,2021-09-11T14:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-09-18/71/38,710602,EPL,2021,club,2021-09-18T14:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-04-24/49/48,710890,EPL,2021,club,2022-04-24T13:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-01-15/50/49,710770,EPL,2021,club,2022-01-15T12:30:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-12-01/48/51,710690,EPL,2021,club,2021-12-01T19:30:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-04-02/39/66,710865,EPL,2021,club,2022-04-02T14:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-05-22/40/39,710933,EPL,2021,club,2022-05-22T15:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-02-26/55/34,710817,EPL,2021,club,2022-02-26T15:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-12-26/47/52,710743,EPL,2021,club,2021-12-26T15:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-01-15/34/38,710771,EPL,2021,club,2022-01-15T15:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-02-09/66/63,710786,EPL,2021,club,2022-02-09T20:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-01-23/52/40,710779,EPL,2021,club,2022-01-23T14:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-09-19/51/46,710597,EPL,2021,club,2021-09-19T13:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-12-15/52/41,710722,EPL,2021,club,2021-12-15T19:30:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-10-23/52/34,710640,EPL,2021,club,2021-10-23T14:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-04-09/41/49,710874,EPL,2021,club,2022-04-09T14:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-04-10/71/44,710873,EPL,2021,club,2022-04-10T13:00:00+00:00,player_history_club,pending,pending,pending
