sb_match_id,competition,season,competition_id,season_id,competition_label,match_date,home,away,norm_home,norm_away,home_score,away_score,fulltime_result,competition_stage,match_status,source_url
3793185,FIFA World Cup,1990,43,55,FIFA World Cup 1990,1990-06-24,Brazil,Argentina,brazil,argentina,0,1,away,Round of 16,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/55.json
7525,FIFA World Cup,2018,43,3,FIFA World Cup 2018,2018-06-14,Russia,Saudi Arabia,russia,saudi arabia,5,0,home,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/3.json
7529,FIFA World Cup,2018,43,3,FIFA World Cup 2018,2018-06-16,Croatia,Nigeria,croatia,nigeria,2,0,home,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/3.json
7530,FIFA World Cup,2018,43,3,FIFA World Cup 2018,2018-06-16,France,Australia,france,australia,2,1,home,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/3.json
7531,FIFA World Cup,2018,43,3,FIFA World Cup 2018,2018-06-16,Argentina,Iceland,argentina,iceland,1,1,draw,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/3.json
7532,FIFA World Cup,2018,43,3,FIFA World Cup 2018,2018-06-16,Peru,Denmark,peru,denmark,0,1,away,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/3.json
7533,FIFA World Cup,2018,43,3,FIFA World Cup 2018,2018-06-17,Brazil,Switzerland,brazil,switzerland,1,1,draw,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/3.json
7534,FIFA World Cup,2018,43,3,FIFA World Cup 2018,2018-06-17,Germany,Mexico,germany,mexico,0,1,away,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/3.json
7535,FIFA World Cup,2018,43,3,FIFA World Cup 2018,2018-06-17,Costa Rica,Serbia,costa rica,serbia,0,1,away,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/3.json
7536,FIFA World Cup,2018,43,3,FIFA World Cup 2018,2018-06-18,Belgium,Panama,belgium,panama,3,0,home,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/3.json
7537,FIFA World Cup,2018,43,3,FIFA World Cup 2018,2018-06-18,Tunisia,England,tunisia,england,1,2,away,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/3.json
7538,FIFA World Cup,2018,43,3,FIFA World Cup 2018,2018-06-18,Sweden,South Korea,sweden,south korea,1,0,home,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/3.json
7539,FIFA World Cup,2018,43,3,FIFA World Cup 2018,2018-06-19,Poland,Senegal,poland,senegal,1,2,away,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/3.json
7540,FIFA World Cup,2018,43,3,FIFA World Cup 2018,2018-06-19,Russia,Egypt,russia,egypt,3,1,home,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/3.json
7541,FIFA World Cup,2018,43,3,FIFA World Cup 2018,2018-06-19,Colombia,Japan,colombia,japan,1,2,away,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/3.json
7542,FIFA World Cup,2018,43,3,FIFA World Cup 2018,2018-06-20,Portugal,Morocco,portugal,morocco,1,0,home,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/3.json
7543,FIFA World Cup,2018,43,3,FIFA World Cup 2018,2018-06-20,Iran,Spain,iran,spain,0,1,away,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/3.json
7544,FIFA World Cup,2018,43,3,FIFA World Cup 2018,2018-06-20,Uruguay,Saudi Arabia,uruguay,saudi arabia,1,0,home,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/3.json
7545,FIFA World Cup,2018,43,3,FIFA World Cup 2018,2018-06-21,Argentina,Croatia,argentina,croatia,0,3,away,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/3.json
7546,FIFA World Cup,2018,43,3,FIFA World Cup 2018,2018-06-21,France,Peru,france,peru,1,0,home,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/3.json
7547,FIFA World Cup,2018,43,3,FIFA World Cup 2018,2018-06-21,Denmark,Australia,denmark,australia,1,1,draw,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/3.json
7548,FIFA World Cup,2018,43,3,FIFA World Cup 2018,2018-06-22,Brazil,Costa Rica,brazil,costa rica,2,0,home,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/3.json
7549,FIFA World Cup,2018,43,3,FIFA World Cup 2018,2018-06-22,Nigeria,Iceland,nigeria,iceland,2,0,home,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/3.json
